v0, k0, x, y, yaw, km, kf, sf
0.6,-0.4,5.5617,-3.7897,-1.5577,0.025,-0.6245,7.0521
0.6,-0.4,5.7702,-3.7855,-1.5395,0.0364,-0.6358,7.2172
0.6,-0.4,5.9651,-3.7795,-1.5426,0.047,-0.6497,7.3735
0.6,-0.4,-2.022,-3.5177,-1.5268,-0.554,1.5838,6.8834
0.6,-0.4,-1.8329,-3.5378,-1.5036,-0.5631,1.6632,6.6626
0.6,-0.4,-1.3245,-3.615,-1.6163,-0.5865,1.4611,6.1117
0.6,-0.4,-1.1206,-3.6001,-1.5749,-0.6,1.5207,5.8823
0.6,-0.4,-0.988,-3.5759,-1.5615,-0.606,1.5548,5.7315
0.6,-0.4,-0.7726,-3.6192,-1.4912,-0.6089,1.576,5.5525
0.6,-0.4,-0.5869,-3.6144,-1.508,-0.6063,1.4986,5.4191
0.6,-0.4,-0.3996,-3.5212,-1.5985,-0.6056,1.3399,5.2592
0.6,-0.4,-0.2177,-3.5632,-1.5443,-0.6091,1.2623,5.0831
0.6,-0.4,0.1781,-3.6044,-1.5505,-0.5852,0.9981,4.8706
0.6,-0.4,0.3341,-3.5776,-1.6297,-0.5692,0.8695,4.8059
0.6,-0.4,0.5163,-3.5675,-1.5917,-0.5544,0.816,4.7293
0.6,-0.4,0.7942,-3.552,-1.6041,-0.5243,0.7162,4.6893
0.6,-0.4,0.9317,-3.5829,-1.5219,-0.5091,0.5324,4.6419
0.6,-0.4,1.1133,-3.5877,-1.5652,-0.4819,0.5601,4.6443
0.6,-0.4,1.4163,-3.5928,-1.5076,-0.438,0.3695,4.6755
0.6,-0.4,1.5769,-3.5717,-1.5417,-0.4069,0.2427,4.6955
0.6,-0.4,1.7931,-3.6135,-1.5339,-0.3822,0.2701,4.7162
0.6,-0.4,1.9844,-3.5662,-1.5584,-0.3525,0.1715,4.7495
0.6,-0.4,2.18,-3.5863,-1.5655,-0.322,0.0795,4.8047
0.6,-0.4,2.3862,-3.598,-1.5518,-0.2915,0.008,4.8802
0.6,-0.4,2.5775,-3.5978,-1.5682,-0.262,-0.0738,4.9739
0.6,-0.4,2.7936,-3.5879,-1.545,-0.2332,-0.1347,5.058
0.6,-0.4,2.9819,-3.5998,-1.4618,-0.2093,-0.2032,5.1237
0.6,-0.4,3.1685,-3.547,-1.5669,-0.1818,-0.2748,5.2394
0.6,-0.4,3.3811,-3.595,-1.5618,-0.1569,-0.318,5.3478
0.6,-0.4,3.5674,-3.5572,-1.564,-0.1342,-0.3742,5.4554
0.6,-0.4,3.7938,-3.5863,-1.5462,-0.1112,-0.4095,5.6037
0.6,-0.4,3.9849,-3.5391,-1.5205,-0.0901,-0.469,5.8015
0.6,-0.4,4.194,-3.5543,-1.5361,-0.071,-0.5034,5.9247
0.6,-0.4,4.3875,-3.5793,-1.5492,-0.0532,-0.5402,6.0749
0.6,-0.4,4.5613,-3.5229,-1.528,-0.0375,-0.5528,6.1253
0.6,-0.4,4.7962,-3.5997,-1.558,-0.0208,-0.5796,6.3145
0.6,-0.4,4.9636,-3.5414,-1.5296,-0.0057,-0.5969,6.4464
0.6,-0.4,5.1547,-3.5449,-1.5471,0.0067,-0.6305,6.5962
0.6,-0.4,5.3748,-3.6181,-1.5894,0.0198,-0.6559,6.7997
0.6,-0.4,5.5536,-3.5407,-1.5423,0.0316,-0.674,6.9445
0.6,-0.4,5.7934,-3.5949,-1.5592,0.0434,-0.6956,7.176
0.6,-0.4,5.9552,-3.5237,-1.5149,0.0545,-0.6855,7.2814
0.6,-0.4,-2.0101,-3.3399,-1.5022,-0.5795,1.832,6.7258
0.6,-0.4,-1.8013,-3.33,-1.5491,-0.5962,1.811,6.4272
0.6,-0.4,-1.5374,-3.3692,-1.5936,-0.6154,1.7396,6.1222
0.6,-0.4,-1.3489,-3.4422,-1.5375,-0.6324,1.7352,5.8733
0.6,-0.4,-1.1583,-3.4132,-1.6325,-0.6402,1.6366,5.688
0.6,-0.4,-1.0544,-3.3715,-1.4983,-0.3948,-2.0866,22.1608
0.6,-0.4,-0.8017,-3.4619,-1.622,-0.4239,-2.1924,21.7318
0.6,-0.4,-0.5792,-3.4595,-1.5613,-0.4548,-2.3529,21.3905
